"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,4,7,7,40,1,3,1,4,5,1,3,3,32,3,4
"1",1,3,7,7,6,72,4,5,5,1,4,5,1,2,64,5,3
"1",1,3,7,7,7,39,3,4,3,4,5,4,3,3,51,5,2
"1",1,3,7,7,7,61,4,4,4,4,3,5,2,2,62,5,4
"1",1,3,5,5,5,66,4,4,4,2,2,4,3,1,56,4,4
"1",1,1,5,7,6,45,2,1,1,4,3,2,4,1,26,1,2
"1",1,3,6,6,6,67,3,3,4,1,4,4,2,2,51,4,4
"1",1,3,6,6,7,67,4,4,4,1,3,4,1,2,43,3,3
"1",1,2,6,6,7,61,4,4,4,3,2,3,1,2,49,3,4
"1",1,3,6,6,5,67,5,5,4,1,3,5,1,3,76,5,5
"1",1,1,3,3,3,37,1,1,2,2,5,2,4,4,40,2,3
"1",1,3,6,7,7,61,4,4,5,1,4,3,1,4,58,5,3
"1",1,3,5,5,4,70,4,4,4,1,2,3,1,3,58,5,5
"1",1,1,7,7,7,86,5,5,5,1,1,5,1,1,79,5,5
"1",3,1,4,5,7,48,1,1,2,5,1,1,3,3,35,2,2
"1",1,1,4,4,7,52,3,2,2,3,3,1,1,2,36,3,3
"1",1,3,7,7,6,69,4,3,4,2,3,5,1,1,47,3,2
"1",2,3,7,6,6,53,4,4,3,4,3,3,2,3,50,5,3
"1",1,3,6,6,6,62,4,4,4,1,2,4,1,4,59,5,3
"1",1,3,5,5,6,57,3,3,4,2,3,3,2,3,52,4,4
"1",1,3,6,6,6,72,4,4,4,1,3,5,1,2,54,4,4
"1",1,2,7,6,6,43,3,4,5,5,4,4,4,4,60,4,5
"1",1,3,7,6,6,56,3,4,4,2,2,4,2,3,51,4,4
