"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",2,3,6,5,4,54,2,4,3,3,3,3,2,2,56,5,4
"1",1,3,7,7,7,76,5,5,5,1,2,5,1,2,65,5,5
"1",2,3,6,6,6,53,3,3,3,2,3,3,3,3,38,3,2
"1",1,3,6,5,5,64,3,3,3,1,2,4,1,2,45,3,3
"1",1,3,6,6,6,81,5,4,4,1,1,5,1,2,57,4,3
"1",1,3,5,5,6,48,2,3,2,3,3,3,3,3,42,3,3
"1",1,3,7,7,5,69,4,4,4,1,3,5,2,3,52,3,3
"1",1,3,4,4,5,67,4,4,3,2,2,5,2,2,51,3,3
"1",1,3,4,5,4,49,3,3,3,3,4,3,2,3,56,4,4
"1",1,3,6,6,7,86,5,5,5,1,1,5,1,1,85,5,5
"1",1,3,5,5,5,52,3,3,3,3,4,3,3,3,35,2,3
"1",2,3,6,6,5,70,4,4,4,2,2,5,1,2,55,4,3
"1",1,3,4,4,4,49,3,3,3,3,3,3,3,3,42,3,3
"1",1,3,7,7,7,56,4,4,5,4,2,3,2,3,47,4,3
"1",1,1,7,7,7,37,1,2,3,5,5,1,4,4,45,3,3
"1",3,2,7,7,7,26,5,5,5,5,5,5,5,5,79,5,5
"1",1,3,6,6,6,59,3,3,3,2,3,3,2,2,45,4,3
"1",1,1,4,5,6,60,3,3,5,5,3,1,1,1,66,5,4
"1",1,1,4,6,6,34,1,1,1,1,5,2,3,5,13,1,1
"1",1,3,4,4,4,51,2,2,2,3,3,3,2,4,38,1,3
"1",2,3,6,6,6,57,4,4,4,4,4,4,1,3,51,4,3
"1",1,3,6,6,6,67,3,4,3,2,2,5,1,2,49,3,3
"1",1,3,5,5,3,61,4,4,4,1,3,3,2,3,44,2,2
"1",1,3,7,7,7,71,4,4,4,1,3,5,1,1,54,4,4
"1",1,3,3,3,1,46,3,1,3,3,5,3,3,3,51,3,4
"1",1,1,2,3,3,55,4,1,2,3,5,4,1,2,36,2,3
"1",1,3,7,7,4,50,1,3,2,1,2,1,5,1,30,4,1
"1",1,3,5,5,5,54,3,3,3,3,4,3,2,2,45,3,3
"1",1,3,7,7,6,67,5,5,5,2,2,5,1,3,67,5,4
"1",1,3,6,6,6,64,3,3,3,2,2,3,1,2,53,3,4
"1",1,3,7,7,7,51,5,3,5,3,3,5,1,4,54,4,4
"1",1,3,7,7,7,47,5,5,5,5,5,2,2,2,56,4,4
"1",1,2,4,4,4,42,2,1,1,2,5,1,3,3,39,1,2
"1",1,3,5,6,7,55,2,2,3,3,5,5,2,1,46,5,3
"1",2,3,6,6,6,81,3,5,4,1,2,5,1,1,80,5,5
